,Ответ,Вопрос
0,"Для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""Выйти из чата"" или позвонить по номеру доб.10-100, прямой +7 (XXX) XXX XX XX.",выйти
1,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",Уберите этот чат бот он очень мешает
2,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",вернуть старый дизайн
3,"Для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""Выйти из чата"" или позвонить по номеру доб.10-100, прямой +7 (XXX) XXX XX XX.",хочу создать заявку
4,"Для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""Выйти из чата"" или позвонить по номеру доб.10-100, прямой +7 (XXX) XXX XX XX.",мне нужно создать заявку
5,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",бот тупой
6,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",бот не помогает
7,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",как убрать бота
8,"Для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""Выйти из чата"" или позвонить по номеру доб.10-100, прямой +7 (XXX) XXX XX XX.",мне сказали создать заявку в поддержке
9,"Для оформления обращения в техническую поддержку вам необходимо нажать на кнопку ""Выйти из чата"" или позвонить по номеру доб.10-100, прямой +7 (XXX) XXX XX XX.",выход
10,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",вернуться на старый портал
11,"Чат-бот находится в стадии пилотирования и обучается ежедневно. Пожалуйста, обратитесь в поддержку или попробуйте переформулировать свой запрос",нужен оператор
